date,series,female.line,n.female,female.age,male.line,n.male,male.age,mate.time1,mate.time2,mate.time3,mate.time4,mate.time5,n.mate.30m,n.mate.1hr,ratio.30m,ratio.1hr
,,,,,,,,,,,,,2,15,0.4,3
,,,,,,,,,,,,, ,,0.1,2.12
9630,5,371,5,7,371,10,6,32.1,59.9,59.9,59.9,59.9,0,5,0,1
9703,29,371,5,8,371,10,6,15,19.9,28.6,32,57.5,3,5,0.6,1
9705,23,371,5,10,371,10,7,33.4,36.4,51.6,NA,NA,0,3,0,0.6
9707,11,371,5,8,371,10,8,17.6,17.9,26.9,43,53.7,3,5,0.6,1
9708,29,371,5,11,371,10,8,43.7,51.2,NA,NA,NA,0,2,0,0.4
,,,,,,,,,,,,,6,20,1.2,4
,,,,,,,,,,,,, ,,0.7,3.52
9630,4,371,5,7,OS,10,4,10.6,11.1,23.1,23.1,26.3,5,5,1,1
9703,28,371,5,8,OS,10,4,11.5,17.4,25.9,46.4,NA,3,4,0.6,0.8
9705,22,371,5,10,OS,10,4,21.7,22.9,51.6,56.4,NA,2,4,0.4,0.8
9707,10,371,5,8,OS,10,5,10.1,20.3,20.3,32.8,33.6,3,5,0.6,1
9708,28,371,5,11,OS,10,7,8.3,28.9,42.9,NA,NA,2,3,0.4,0.6
,,,,,,,,,,,,,15,21,3,4.2
,,,,,,,,,,,,, ,,2,3.64
9630,6,OS,5,21,371,9,6,32,32,37.3,74.3,NA,0,3,0,0.6
9703,30,OS,5,15,371,10,6,16,26.8,26.8,33.9,48.3,3,5,0.6,1
9705,24,OS,5,7,371,10,7,12.6,25.3,51.5,NA,NA,2,3,0.4,0.6
9707,12,OS,5,8,371,10,8,11,11.1,19.6,NA,NA,3,3,0.6,0.6
9708,30,OS,5,8,371,10,8,23,35.1,52.4,NA,NA,2,3,0.4,0.6
,,,,,,,,,,,,,10,17,2,3.4
,,,,,,,,,,,,, ,,1,2.44
9504,2,373,5,11,373,10,11,22.4,22.6,37.8,49.4,58,2,5,0.4,1
9507,17,373,5,14,373,10,13,29.3,NA,NA,NA,NA,1,1,0.2,0.2
9513,2,373,5,18,373,10,16,34,42.8,NA,NA,NA,0,2,0,0.4
9518,8,373,5,20,373,10,17,18,31.5,NA,NA,NA,1,2,0.2,0.4
9819,8,373,5,9,373,10,11,14.7,23.4,43.1,46.5,NA,2,4,0.4,0.8
,,,,,,,,,,,,,6,14,1.2,2.8
,,,,,,,,,,,,, ,,0.4,2
9504,1,373,5,11,OS,10,16,8.4,8.8,9.2,40.9,NA,3,4,0.6,0.8
9507,16,373,5,14,OS,10,11,6,7,14.4,14.8,18.9,5,5,1,1
9513,1,373,5,18,OS,10,7,7.1,11.6,15.2,24.3,50.7,4,5,0.8,1
9518,7,373,5,20,OS,10,5,6.1,9.3,20.5,30.8,NA,3,4,0.6,0.8
9819,7,373,5,9,OS,10,7,11.5,11.6,12.3,16.1,40.4,4,5,0.8,1
,,,,,,,,,,,,,19,23,3.8,4.6
,,,,,,,,,,,,, ,,3,4.28
9504,3,OS,5,11,373,10,11,45.9,NA,NA,NA,NA,0,1,0,0.2
9507,18,OS,5,8,373,10,13,34,NA,NA,NA,NA,0,1,0,0.2
9513,3,OS,5,9,373,10,16,56,NA,NA,NA,NA,0,1,0,0.2
9518,9,OS,5,11,373,10,17,38.2,49.3,NA,NA,NA,0,2,0,0.4
9819,9,OS,5,6,373,10,11,NA,NA,NA,NA,NA,0,0,0,0
,,,,,,,,,,,,,0,5,0,1
,,,,,,,,,,,,, ,,0,0.28
9504,5,374,5,11,374,10,9,NA,NA,NA,NA,NA,0,0,0,0
9507,20,374,5,14,374,10,9,44.5,NA,NA,NA,NA,0,1,0,0.2
9513,5,374,5,14,374,10,14,NA,NA,NA,NA,NA,0,0,0,0
9819,11,374,5,10,374,10,13,23.2,32.5,41.8,50.6,NA,1,4,0.2,0.8
9822,20,374,5,12,374,10,11,50.8,NA,NA,NA,NA,0,1,0,0.2
,,,,,,,,,,,,,1,6,0.2,1.2
,,,,,,,,,,,,, ,,0,0.72
9504,4,374,6,11,OS,10,16,7.9,19.2,34.2,37.3,NA,2,4,0.33,0.666666667
9507,19,374,5,14,OS,10,11,13.9,22.7,41.2,52.1,52.2,2,5,0.4,1
9513,4,374,5,14,OS,10,7,24,NA,NA,NA,NA,1,1,0.2,0.2
9819,10,374,5,10,OS,10,7,23.2,47.6,NA,NA,NA,1,2,0.2,0.4
9822,19,374,5,12,OS,10,10,22.3,25.6,44.5,NA,NA,2,3,0.4,0.6
,,,,,,,,,,,,,8,15,1.53,2.866666667
,,,,,,,,,,,,, ,,0.5,2.004444444
9504,6,OS,5,11,374,10,9,17,17.6,55.9,56.1,NA,2,4,0.4,0.8
9507,21,OS,5,8,374,10,9,15.7,28,35.3,NA,NA,2,3,0.4,0.6
9513,6,OS,5,9,374,10,14,29.7,45.4,45.7,NA,NA,1,3,0.2,0.6
9819,12,OS,5,6,374,10,13,24.7,38.2,52.3,60.2,NA,1,3,0.2,0.6
9822,21,OS,5,9,374,10,11,17.5,28,53.1,62,NA,2,3,0.4,0.6
,,,,,,,,,,,,,8,16,1.6,3.2
,,,,,,,,,,,,, ,,0.6,2.08
9507,23,377,5,12,377,10,10,22.9,23.9,51.9,NA,NA,2,3,0.4,0.6
9513,8,377,5,14,377,10,15,25.1,NA,NA,NA,NA,1,1,0.2,0.2
9819,14,377,5,9,377,10,7,9.9,36.5,48.2,NA,NA,1,3,0.2,0.6
9822,23,377,5,9,377,10,7,41,NA,NA,NA,NA,0,1,0,0.2
9826,17,377,5,10,377,10,10,52.1,NA,NA,NA,NA,0,1,0,0.2
,,,,,,,,,,,,,4,9,0.8,1.8
,,,,,,,,,,,,, ,,0.2,0.84
9507,22,377,5,12,OS,10,11,8,13.6,14.5,NA,NA,3,3,0.6,0.6
9513,7,377,5,14,OS,10,7,6.7,14.9,20.4,24.3,NA,4,4,0.8,0.8
9819,13,377,5,9,OS,10,7,6.8,18.9,19.9,53.5,NA,3,4,0.6,0.8
9822,22,377,5,9,OS,10,10,8.3,8.9,31.4,32.7,NA,2,4,0.4,0.8
9826,16,377,5,10,OS,10,13,17.8,31.4,41.6,NA,NA,1,3,0.2,0.6
,,,,,,,,,,,,,13,18,2.6,3.6
,,,,,,,,,,,,, ,,1.6,2.64
9507,24,OS,5,8,377,9,10,18.7,26.2,39.2,39.7,NA,2,4,0.4,0.8
9513,9,OS,5,9,377,10,15,33.9,38.2,46.2,56.9,NA,0,4,0,0.8
9819,15,OS,5,6,377,10,7,45,NA,NA,NA,NA,0,1,0,0.2
9822,24,OS,5,9,377,10,7,12.6,43.9,57,NA,NA,1,3,0.2,0.6
9826,18,OS,5,12,377,10,10,38.5,NA,NA,NA,NA,0,1,0,0.2
,,,,,,,,,,,,,3,13,0.6,2.6
,,,,,,,,,,,,, ,,0.2,1.72
9504,8,378,5,10,378,10,9,31.19195402,NA,NA,NA,NA,0,1,0,0.2
9507,26,378,5,11,378,10,11,31.40804598,NA,NA,NA,NA,0,1,0,0.2
9513,11,378,5,15,378,10,13,NA,NA,NA,NA,NA,0,0,0,0
9518,11,378,5,19,378,10,18,NA,NA,NA,NA,NA,0,0,0,0
9826,20,378,5,7,378,9,10,41.01896552,42.35229885,53.31896552,NA,NA,0,3,0,0.6
,,,,,,,,,,,,,0,5,0,1
,,,,,,,,,,,,, ,,0,0.44
9504,7,378,5,10,OS,10,16,10.79310345,17.05977011,21.75977011,21.92643678,22.17643678,5,5,1,1
9507,25,378,5,11,OS,10,11,4.151724138,10.7183908,15.1183908,25.13505747,30.75172414,4,5,0.8,1
9513,10,378,5,15,OS,10,7,7.031609195,11.26494253,18.66494253,18.69827586,NA,4,4,0.8,0.8
9518,10,378,5,19,OS,10,5,8.222988506,11.33965517,15.63965517,15.80632184,NA,4,4,0.8,0.8
9826,19,378,5,7,OS,10,13,6.942528736,10.84252874,12.59252874,12.82586207,27.37586207,5,5,1,1
,,,,,,,,,,,,,22,23,4.4,4.6
,,,,,,,,,,,,, ,,3.9,4.28
9504,9,OS,5,11,378,10,9,52.8908046,NA,NA,NA,NA,0,1,0,0.2
9507,27,OS,5,8,378,9,11,45.46436782,NA,NA,NA,NA,0,1,0,0.2
9513,12,OS,5,9,378,10,13,NA,NA,NA,NA,NA,0,0,0,0
9518,12,OS,5,11,378,10,18,NA,NA,NA,NA,NA,0,0,0,0
9826,21,OS,5,12,378,10,10,NA,NA,NA,NA,NA,0,0,0,0
,,,,,,,,,,,,,0,2,0,0.4
,,,,,,,,,,,,, ,,0,0.08
9507,29,381,5,13,381,10,11,NA,NA,NA,NA,NA,0,0,0,0
9513,14,381,5,14,381,10,14,NA,NA,NA,NA,NA,0,0,0,0
9518,14,381,5,18,381,10,18,NA,NA,NA,NA,NA,0,0,0,0
9819,17,381,5,9,381,10,9,26.8316092,35.5816092,35.6316092,53.0816092,NA,1,4,0.2,0.8
9822,26,381,5,12,381,10,7,16.5908046,NA,NA,NA,NA,1,1,0.2,0.2
,,,,,,,,,,,,,2,5,0.4,1
,,,,,,,,,,,,, ,,0.1,0.68
9507,28,381,5,13,OS,10,11,7.854022989,NA,NA,NA,NA,1,1,0.2,0.2
9513,13,381,5,14,OS,10,7,14.76436782,40.38103448,NA,NA,NA,1,2,0.2,0.4
9518,13,381,5,18,OS,10,5,NA,NA,NA,NA,NA,0,0,0,0
9819,16,381,5,9,OS,10,7,22.56609195,34.91609195,34.93275862,47.93275862,NA,1,4,0.2,0.8
9822,25,381,5,12,OS,10,10,17.07183908,18.95517241,35.67183908,NA,NA,2,3,0.4,0.6
,,,,,,,,,,,,,5,10,1,2
,,,,,,,,,,,,, ,,0.3,1.2
9507,30,OS,5,8,381,10,11,38.21666667,55.95,NA,NA,NA,0,2,0,0.4
9513,15,OS,5,9,381,10,14,34.11954023,44.61954023,NA,NA,NA,0,2,0,0.4
9518,15,OS,5,11,381,10,18,31.96724138,NA,NA,NA,NA,0,1,0,0.2
9819,18,OS,5,6,381,10,9,50.93045977,NA,NA,NA,NA,0,1,0,0.2
9822,27,OS,5,9,381,10,7,47.50977011,NA,NA,NA,NA,0,1,0,0.2
,,,,,,,,,,,,,0,7,0,1.4
,,,,,,,,,,,,, ,,0,0.44
9620,20,382,5,14,382,10,14,42.24425287,NA,NA,NA,NA,0,1,0,0.2
9625,14,382,5,4,382,10,8,8.29137931,18.79137931,37.82471264,41.62471264,NA,2,4,0.4,0.8
9630,8,382,5,7,382,10,21,6.328735632,10.2954023,10.2954023,10.2954023,11.46206897,5,5,1,1
9701,17,382,5,9,382,10,8,7.6,7.666666667,26.93333333,26.93333333,NA,4,4,0.8,0.8
9704,2,382,5,10,382,10,8,4.871264368,21.83793103,26.3545977,55.7045977,NA,3,4,0.6,0.8
,,,,,,,,,,,,,14,18,2.8,3.6
,,,,,,,,,,,,, ,,2.2,2.96
9620,19,382,5,14,OS,10,17,6.393678161,7.477011494,30.81034483,33.47701149,38.47701149,3,5,0.6,1
9625,13,382,5,4,OS,10,13,6.135632184,8.768965517,12.35229885,17.76896552,18.10229885,5,5,1,1
9630,7,382,5,7,OS,10,4,6.343678161,13.77701149,23.01034483,41.89367816,60.11034483,3,4,0.6,0.8
9701,16,382,5,9,OS,10,4,5.75,10.75,11.25,27.08333333,27.08333333,5,5,1,1
9704,1,382,5,10,OS,10,5,8.183333333,9.166666667,9.333333333,10.08333333,19.2,5,5,1,1
,,,,,,,,,,,,,21,24,4.2,4.8
,,,,,,,,,,,,, ,,3.7,4.64
9620,21,OS,5,21,382,10,14,25.76149425,49.84482759,NA,NA,NA,1,2,0.2,0.4
9625,15,OS,5,20,382,10,8,NA,NA,NA,NA,NA,0,0,0,0
9630,9,OS,5,21,382,12,21,NA,NA,NA,NA,NA,0,0,0,0
9701,18,OS,5,19,382,9,8,27.11666667,NA,NA,NA,NA,1,1,0.2,0.2
9704,3,OS,5,7,382,10,8,17.54252874,17.74252874,44.37586207,NA,NA,2,3,0.4,0.6
,,,,,,,,,,,,,4,6,0.8,1.2
,,,,,,,,,,,,, ,,0.2,0.56
9508,2,383,5,14,383,10,10,9.764942529,9.798275862,10.6816092,17.61494253,25.51494253,5,5,1,1
9513,17,383,5,17,383,10,14,6.124712644,6.824712644,16.82471264,24.60804598,38.55804598,4,5,0.8,1
9518,17,383,5,19,383,10,16,8.914942529,8.998275862,10.3316092,20.8316092,43.5816092,4,5,0.8,1
9819,20,383,5,9,383,10,9,8.294827586,15.29482759,18.96149425,27.96149425,33.09482759,4,5,0.8,1
9822,29,383,5,11,383,10,5,8.964367816,42.04770115,50.94770115,54.23103448,NA,2,4,0.4,0.8
,,,,,,,,,,,,,19,24,3.8,4.8
,,,,,,,,,,,,, ,,3.1,4.64
9508,1,383,5,14,OS,10,9,6.616666667,8.7,9.85,12.25,16.58333333,5,5,1,1
9513,16,383,5,17,OS,10,7,8.747126437,9.413793103,20.23045977,27.2637931,45.94712644,4,5,0.8,1
9518,16,383,5,19,OS,9,5,6.032758621,12.06609195,12.56609195,43.73275862,44.73275862,3,5,0.6,1
9819,19,383,5,9,OS,11,7,4.245977011,16.11264368,17.11264368,26.74597701,37.61264368,4,5,0.8,1
9822,28,383,5,11,OS,10,10,3.645402299,3.845402299,12.17873563,39.3454023,NA,3,4,0.6,0.8
,,,,,,,,,,,,,19,24,3.8,4.8
,,,,,,,,,,,,, ,,3,4.64
9508,3,OS,5,14,383,10,10,21.42988506,27.62988506,34.54655172,34.59655172,48.52988506,2,5,0.4,1
9513,18,OS,5,9,383,10,14,17.70229885,24.70229885,34.18563218,NA,NA,2,3,0.4,0.6
9518,18,OS,5,11,383,10,16,15.34712644,26.94712644,43.43045977,43.68045977,NA,2,4,0.4,0.8
9819,21,OS,5,6,383,10,9,16.31034483,29.14367816,29.39367816,36.41034483,53.31034483,3,5,0.6,1
9822,30,OS,5,9,383,10,5,58.21666667,NA,NA,NA,NA,0,1,0,0.2
,,,,,,,,,,,,,9,18,1.8,3.6
,,,,,,,,,,,,, ,,0.8,3.04
9620,23,385,5,14,385,10,8,8.9,13.7,21,42.8,NA,3,4,0.6,0.8
9624,8,385,5,4,385,10,7,7.5,10.5,12.7,20,26.4,5,5,1,1
9630,11,385,5,7,385,10,8,4.8,7.7,8.5,13.7,17.8,5,5,1,1
9701,20,385,5,10,385,10,4,7.2,7.2,7.4,9.2,27,5,5,1,1
9704,5,385,5,9,385,10,6,7.8,12.4,14.4,15.9,22.2,5,5,1,1
,,,,,,,,,,,,,23,24,4.6,4.8
,,,,,,,,,,,,, ,,4.4,4.64
9620,22,385,5,14,OS,10,17,4.3,8.5,8.8,9,10,5,5,1,1
9624,7,385,5,4,OS,10,17,6.1,7.7,8.4,14.9,26.7,5,5,1,1
9630,10,385,5,7,OS,10,4,10.2,10.2,20.7,25.9,42.2,4,5,0.8,1
9701,19,385,5,10,OS,10,4,7.3,7.4,7.6,8.8,9.1,5,5,1,1
9704,4,385,5,9,OS,10,5,7.8,7.8,12.8,29,38.3,4,5,0.8,1
,,,,,,,,,,,,,23,25,4.6,5
,,,,,,,,,,,,, ,,4.3,5
9620,24,OS,5,21,385,10,8,21.1,22.2,39.6,55.1,NA,2,4,0.4,0.8
9624,9,OS,5,22,385,10,7,42.7,57,NA,NA,NA,0,2,0,0.4
9630,12,OS,5,21,385,10,8,10.5,10.5,32.1,32.1,46.7,2,5,0.4,1
9701,21,OS,5,19,385,10,4,7.5,26.8,26.8,35,50.2,3,5,0.6,1
9704,6,OS,5,7,385,10,6,19.8,24.5,31.1,46.9,NA,2,4,0.4,0.8
,,,,,,,,,,,,,9,20,1.8,4
,,,,,,,,,,,,, ,,0.8,3.44
9625,17,386,5,4,386,10,7,NA,NA,NA,NA,NA,0,0,0,0
9630,14,386,5,7,386,10,7,NA,NA,NA,NA,NA,0,0,0,0
9701,23,386,5,7,386,10,8,27.9,NA,NA,NA,NA,1,1,0.2,0.2
9704,8,386,5,9,386,10,6,NA,NA,NA,NA,NA,0,0,0,0
9705,26,386,5,8,386,10,7,NA,NA,NA,NA,NA,0,0,0,0
,,,,,,,,,,,,,1,1,0.2,0.2
,,,,,,,,,,,,, ,,0,0.04
9625,16,386,5,4,OS,9,13,5.6,6.8,16.2,17.8,NA,4,4,0.8,0.8
9630,13,386,5,7,OS,10,4,10.1,14.1,22.3,22.3,59.7,4,5,0.8,1
9701,22,386,5,7,OS,10,4,5.7,12,12,19.4,26.7,5,5,1,1
9704,7,386,5,9,OS,10,5,7.6,14.3,32.7,33.7,51.1,2,5,0.4,1
9705,25,386,5,8,OS,10,4,3.5,6.7,6.8,7.5,47.9,4,5,0.8,1
,,,,,,,,,,,,,19,24,3.8,4.8
,,,,,,,,,,,,, ,,3.1,4.64
9625,18,OS,5,20,386,10,7,NA,NA,NA,NA,NA,0,0,0,0
9630,15,OS,5,21,386,10,7,NA,NA,NA,NA,NA,0,0,0,0
9701,24,OS,5,19,386,10,8,46.4,NA,NA,NA,NA,0,1,0,0.2
9704,9,OS,5,7,386,10,6,NA,NA,NA,NA,NA,0,0,0,0
9705,27,OS,5,7,386,10,7,NA,NA,NA,NA,NA,0,0,0,0
,,,,,,,,,,,,,0,1,0,0.2
,,,,,,,,,,,,, ,,0,0.04
9620,26,387,5,14,387,10,6,NA,NA,NA,NA,NA,0,0,0,0
9627,14,387,5,6,387,9,10,30.8,31.6,NA,NA,NA,0,2,0,0.4
9701,26,387,5,8,387,10,9,27.6,35.2,NA,NA,NA,1,2,0.2,0.4
9704,11,387,5,10,387,10,7,NA,NA,NA,NA,NA,0,0,0,0
9705,29,387,5,10,387,10,6,13,NA,NA,NA,NA,1,1,0.2,0.2
,,,,,,,,,,,,,2,5,0.4,1
,,,,,,,,,,,,, ,,0.1,0.36
9620,25,387,5,14,OS,10,17,8.7,14.9,26.2,26.5,NA,4,4,0.8,0.8
9627,13,387,5,6,OS,9,6,10.3,14.5,22.1,45.6,NA,3,4,0.6,0.8
9701,25,387,5,8,OS,10,4,5.7,15.1,57.1,NA,NA,2,3,0.4,0.6
9704,10,387,5,10,OS,10,5,7.3,10,21.7,48.3,59.8,3,5,0.6,1
9705,28,387,5,10,OS,10,4,11.9,18.4,41.7,NA,NA,2,3,0.4,0.6
,,,,,,,,,,,,,14,19,2.8,3.8
,,,,,,,,,,,,, ,,1.7,3
9620,27,OS,5,21,387,10,6,NA,NA,NA,NA,NA,0,0,0,0
9627,15,OS,5,21,387,10,10,22.9,39.8,55.3,NA,NA,1,3,0.2,0.6
9701,27,OS,5,19,387,9,9,8.6,57.6,NA,NA,NA,1,2,0.2,0.4
9704,12,OS,5,7,387,10,7,NA,NA,NA,NA,NA,0,0,0,0
9705,30,OS,5,7,387,10,6,25.9,33.3,NA,NA,NA,1,2,0.2,0.4
,,,,,,,,,,,,,3,7,0.6,1.4
,,,,,,,,,,,,, ,,0.1,0.68
9918,14,391,5,6,391,10,9,11.2,12.3,12.9,43.4,NA,3,4,0.6,0.8
9924,17,391,5,8,391,10,9,6.5,8.7,12.1,18.8,23.8,5,5,1,1
9926,28,391,5,4,391,10,3,9.5,16.9,29,35.7,NA,3,4,0.6,0.8
9929,8,391,5,7,391,10,7,14.6,19.5,23.9,37.1,NA,3,4,0.6,0.8
9930,2,391,5,5,391,10,5,17.5,38,54.3,NA,NA,1,3,0.2,0.6
9002,30,391,5,7,391,10,5,5.3,15.1,18.3,27.8,48.3,4,5,0.8,1
9003,30,391,5,8,391,10,5,1.9,2.4,18.7,35.1,74.2,3,4,0.6,0.8
9005,29,391,5,8,391,10,5,7.5,8,13.1,25.8,52.5,4,5,0.8,1
9010,20,391,5,12,391,10,9,24.9,NA,NA,NA,NA,1,1,0.2,0.2
9013,16,391,5,11,391,10,7,15.9,21,41,NA,NA,2,3,0.4,0.6
,,,,,,,,,,,,,29,38,5.8,7.6
,,,,,,,,,,,,, ,,4,6.3
9918,13,391,5,6,OS,9,8,6,15.5,19.1,30.4,NA,3,4,0.6,0.8
9924,16,391,5,8,OS,10,7,5.4,21.8,NA,NA,NA,2,2,0.4,0.4
9926,27,391,5,4,OS,10,10,5.6,11.9,12.8,13.3,21.3,5,5,1,1
9929,7,391,5,7,OS,10,12,17.9,27,38.7,NA,NA,2,3,0.4,0.6
9930,1,391,5,5,OS,10,7,10.6,18.9,25.3,26,30,5,5,1,1
9002,29,391,5,7,OS,10,9,9.3,9.3,18.6,31.1,38.4,3,5,0.6,1
9003,29,391,5,8,OS,10,9,8.1,12.6,25.6,25.9,39.9,4,5,0.8,1
9005,28,391,5,8,OS,10,10,8.3,8.5,13.5,14.8,27.5,5,5,1,1
9010,21,391,5,12,OS,10,12,21.9,38.6,64,NA,NA,1,2,0.2,0.4
9013,10,391,5,11,OS,10,8,7.3,10.5,15.6,19.4,40.3,4,5,0.8,1
,,,,,,,,,,,,,34,41,6.8,8.2
,,,,,,,,,,,,, ,,5.4,7.3
9918,15,OS,5,5,391,10,9,16.8,28.3,35.2,43.1,NA,2,4,0.4,0.8
9924,18,OS,5,9,391,10,9,13.4,18.6,31,45.2,NA,2,4,0.4,0.8
9926,29,OS,5,11,391,10,3,5.4,25.8,54.3,NA,NA,2,3,0.4,0.6
9929,9,OS,5,14,391,10,7,13.1,25.3,33.2,41.5,NA,2,4,0.4,0.8
9930,3,OS,5,15,391,10,5,9.7,10.9,26.4,59.3,NA,3,4,0.6,0.8
9002,31,OS,5,7,391,10,5,12.3,14.5,22.6,24,33.1,4,5,0.8,1
9003,31,OS,5,7,391,10,5,3.9,18.3,27.4,32.1,NA,3,4,0.6,0.8
9005,30,OS,4,5,391,10,5,13,22.2,34.7,36.3,NA,2,4,0.5,1
9010,19,OS,5,6,391,10,9,12.9,20.9,27.7,31,55.2,3,5,0.6,1
9013,26,OS,5,8,391,10,7,9,11.5,19,26.9,49,4,5,0.8,1
,,,,,,,,,,,,,27,42,5.5,8.6
,,,,,,,,,,,,, ,,3.3,7.6
9620,29,392,5,14,392,10,6,15.9,20.6,25.7,45.4,NA,3,4,0.6,0.8
9625,20,392,5,4,392,10,8,15.3,22.7,23.3,NA,NA,3,3,0.6,0.6
9701,29,392,5,7,392,10,11,11.4,53.6,NA,NA,NA,1,2,0.2,0.4
9704,14,392,5,9,392,10,10,12,16.3,22.4,38.1,NA,3,4,0.6,0.8
9706,2,392,5,9,392,10,6,9.4,18.9,26.8,26.8,46.7,4,5,0.8,1
,,,,,,,,,,,,,14,18,2.8,3.6
,,,,,,,,,,,,, ,,1.8,2.8
9620,28,392,5,14,OS,10,17,5.2,14.1,NA,NA,NA,2,2,0.4,0.4
9625,19,392,5,4,OS,10,13,10.8,11.7,12.6,NA,NA,3,3,0.6,0.6
9701,28,392,5,7,OS,10,4,5.5,5.6,19.4,NA,NA,3,3,0.6,0.6
9704,13,392,5,9,OS,10,5,6.1,8.9,9.6,35.7,48.6,3,5,0.6,1
9706,1,392,5,9,OS,10,5,9.4,9.4,14.1,19.8,29.4,5,5,1,1
,,,,,,,,,,,,,16,18,3.2,3.6
,,,,,,,,,,,,, ,,2.2,2.88
9620,30,OS,5,21,392,10,6,40.3,48.6,NA,NA,NA,0,2,0,0.4
9625,21,OS,5,20,392,10,8,NA,NA,NA,NA,NA,0,0,0,0
9701,30,OS,5,19,392,10,11,53.7,NA,NA,NA,NA,0,1,0,0.2
9704,15,OS,5,7,392,10,10,12,19.1,28.8,28.8,NA,4,4,0.8,0.8
9706,3,OS,5,6,392,10,6,15,22.3,52.8,58.3,NA,2,4,0.4,0.8
,,,,,,,,,,,,,6,11,1.2,2.2
,,,,,,,,,,,,, ,,0.8,1.48
9623,5,398,5,17,398,10,15,19.1,32.4,NA,NA,NA,1,2,0.2,0.4
9625,23,398,5,4,398,10,8,11.2,14.3,15.7,17.8,18,5,5,1,1
9627,17,398,5,5,398,10,6,17.5,18.5,24.5,42.1,NA,3,4,0.6,0.8
9702,5,398,5,8,398,10,9,8,8,11.2,27.3,30.4,4,5,0.8,1
9706,8,398,5,8,398,10,9,12.7,17.5,21.1,29.9,30.8,4,5,0.8,1
,,,,,,,,,,,,,17,21,3.4,4.2
,,,,,,,,,,,,, ,,2.7,3.8
9623,4,398,5,17,OS,10,18,11.5,NA,NA,NA,NA,1,1,0.2,0.2
9625,22,398,5,4,OS,10,13,5,6.3,7.5,9,14.5,5,5,1,1
9627,16,398,5,5,OS,10,6,5.9,9.9,11,30.3,NA,3,4,0.6,0.8
9702,4,398,5,8,OS,10,4,11,16.5,16.5,24.5,27.5,5,5,1,1
9706,7,398,5,8,OS,10,5,6.4,10.1,10.5,16.1,31,4,5,0.8,1
,,,,,,,,,,,,,18,20,3.6,4
,,,,,,,,,,,,, ,,3,3.68
9623,6,OS,5,23,398,10,15,23.9,29.8,44.5,44.6,59.1,2,5,0.4,1
9625,24,OS,5,20,398,10,8,43.6,NA,NA,NA,NA,0,1,0,0.2
9627,18,OS,5,21,398,10,6,33.8,39.6,45,NA,NA,0,3,0,0.6
9702,6,OS,5,18,398,10,9,5.9,6.1,27.2,27.2,NA,4,4,0.8,0.8
9706,9,OS,5,6,398,10,9,19.2,37.1,NA,NA,NA,1,2,0.2,0.4
,,,,,,,,,,,,,7,15,1.4,3
,,,,,,,,,,,,, ,,0.8,2.2
30-Sep,11,405,5,10,405,10,9,11,11.6,17.6,26.1,NA,4,4,0.8,0.8
9=01,5,405,5,11,405,10,10,11.4,21.7,33.3,40.1,NA,2,4,0.4,0.8
9=01,29,405,5,10,405,10,9,6.4,13.1,23.4,23.5,23.6,5,5,1,1
9=02,23,405,5,7,405,10,8,17.6,25.9,38.3,47.1,NA,2,4,0.4,0.8
9=09,14,405,5,16,405,10,9,13.6,33.4,NA,NA,NA,1,2,0.2,0.4
,,,,,,,,,,,,,14,19,2.8,3.8
,,,,,,,,,,,,, ,,2,3.08
30-Sep,10,405,5,10,OS,10,4,3.1,12.8,17.9,28.5,NA,4,4,0.8,0.8
9=01,4,405,5,11,OS,10,5,6.9,7,8.9,16.3,NA,4,4,0.8,0.8
9=01,28,405,5,10,OS,10,5,6.4,7.4,12.3,21,33.3,4,5,0.8,1
9=02,22,405,5,7,OS,10,6,6.3,6.4,6.5,9,NA,4,4,0.8,0.8
9=09,13,405,5,16,OS,10,8,8.2,8.8,10.6,13.7,NA,4,4,0.8,0.8
,,,,,,,,,,,,,20,21,4,4.2
,,,,,,,,,,,,, ,,3.2,3.56
30-Sep,12,OS,5,5,405,10,9,8.5,11.6,16.3,24.6,NA,4,4,0.8,0.8
9=01,6,OS,5,6,405,10,10,14.9,15,18.6,26.7,26.9,5,5,1,1
9=01,30,OS,5,6,405,10,9,14.5,14.6,14.9,16.6,40.6,4,5,0.8,1
9=02,24,OS,5,7,405,10,8,14,23.7,33.6,58.2,NA,2,4,0.4,0.8
9=09,15,OS,5,8,405,10,9,25,29.9,36.9,58.2,NA,2,4,0.4,0.8
,,,,,,,,,,,,,17,22,3.4,4.4
,,,,,,,,,,,,, ,,2.6,3.92
30-Sep,14,406,5,9,406,10,8,NA,NA,NA,NA,NA,0,0,0,0
9=01,8,406,5,10,406,10,9,48.9,NA,NA,NA,NA,0,1,0,0.2
9=02,2,406,5,10,406,10,10,23.1,60.2,NA,NA,NA,1,1,0.2,0.2
9=02,26,406,5,10,406,10,8,52.5,NA,NA,NA,NA,0,1,0,0.2
9=09,17,406,5,15,406,10,7,NA,NA,NA,NA,NA,0,0,0,0
,,,,,,,,,,,,,1,3,0.2,0.6
,,,,,,,,,,,,, ,,0,0.12
30-Sep,13,406,5,9,OS,10,4,16.1,26.8,43,NA,NA,2,3,0.4,0.6
9=01,7,406,5,10,OS,10,5,18.4,26.3,39.6,46.4,52.5,2,5,0.4,1
9=02,1,406,5,10,OS,10,6,11.7,16.5,22.2,26.4,30.1,4,5,0.8,1
